#,a7,a6,a5,a4,a3,a2,a1,a0,vm,vt,err
234,0,0,0,0,1,0,0,0,0.15,0,0
4,0,0,0,0,1,1,1,1,0.3,0,0
4,0,0,0,1,0,1,1,1,0.45,0,0
4,0,0,0,1,1,1,1,1,0.6,0,0
2,0,0,1,0,0,1,1,0,0.75,0,0
32,0,0,1,0,1,1,1,0,0.9,0,0
3,0,0,1,1,0,1,1,0,1.05,0,0
23,0,0,1,1,1,1,0,1,1.2,0,0
23,0,1,0,0,0,1,0,1,1.35,0,0
23,0,1,0,0,1,1,0,1,1.5,0,0
23,0,1,0,1,0,1,0,0,1.65,0,0
121,0,1,0,1,1,1,0,0,1.8,0,0
21,0,1,1,0,0,1,0,0,1.95,0,0
2,0,1,1,0,1,0,1,1,2.1,0,0
12,0,1,1,1,0,0,1,1,2.25,0,0
121,0,1,1,1,1,0,1,1,2.4,0,0
2,1,0,0,0,0,0,1,0,2.55,0,0
213,1,0,0,0,1,0,1,0,2.7,0,0
123,1,0,0,1,0,0,1,0,2.85,0,0
12,1,0,0,1,1,0,0,1,3,0,0
312,1,0,1,0,0,0,0,1,3.15,0,0
312,1,0,1,0,1,0,0,1,3.3,0,0
321,1,0,1,1,0,0,0,0,3.45,0,0
3,1,0,1,1,1,0,0,0,3.6,0,0
213,1,1,0,0,0,0,0,0,3.75,0,0
2345,1,1,0,0,0,1,1,1,3.9,0,0
